geo,trade_type,partner,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
LU,Export,EU28,26143.0,23922.0,22507.0,23151.0,24050.0,23553.0,26722.0,30914.0,29388.0,32760.0,27512.0,23594.0,21012.0,19085.0,,,
LU,Export,EXT_EU28,4969.0,5047.0,5271.0,6165.0,5929.0,4806.0,3876.0,4026.0,4078.0,3915.0,3219.0,2525.0,2497.0,2519.0,,,
LU,Import,EU28,30092.0,32170.0,32093.0,33097.0,33822.0,30027.0,25941.0,32657.0,30143.0,30501.0,26319.0,24487.0,22137.0,22287.0,,,
LU,Import,EXT_EU28,11663.0,8028.0,8441.0,9776.0,7643.0,7399.0,10378.0,11068.0,10763.0,12722.0,10022.0,7743.0,6443.0,4469.0,,,
LV,Export,EU28,15092.0,15010.0,14472.0,13966.0,12454.0,9677.0,7475.0,9461.0,8794.0,7110.0,6355.0,4987.0,4065.0,3761.0,,,
LV,Export,EXT_EU28,6638.0,6904.0,7314.0,8000.0,6411.0,4703.0,3571.0,4332.0,3330.0,2694.0,1941.0,1457.0,1050.0,1074.0,,,
LV,Import,EU28,20558.0,21400.0,21524.0,20969.0,18175.0,13428.0,10622.0,16584.0,17334.0,14080.0,10535.0,8640.0,6994.0,6637.0,,,
LV,Import,EXT_EU28,5243.0,5170.0,5380.0,5850.0,5231.0,4209.0,3446.0,5366.0,5026.0,4304.0,3443.0,2761.0,2259.0,1920.0,,,
MT,Export,EU28,2099.0,2208.0,2460.0,2586.0,2593.0,2229.0,1642.0,1910.0,2221.0,2312.0,2010.0,1999.0,1942.0,2034.0,,,
MT,Export,EXT_EU28,2553.0,2203.0,3018.0,4032.0,3709.0,3181.0,2457.0,2824.0,2794.0,2140.0,1846.0,2046.0,2040.0,2255.0,,,
MT,Import,EU28,6820.0,6434.0,6569.0,7914.0,6675.0,5358.0,4816.0,5508.0,5185.0,4851.0,4534.0,4287.0,3890.0,3816.0,,,
MT,Import,EXT_EU28,3618.0,3828.0,2681.0,2355.0,2365.0,2278.0,1604.0,1699.0,1823.0,2009.0,1442.0,1564.0,1816.0,1781.0,,,
NL,Export,EU28,772357.0,768460.0,765119.0,772778.0,739052.0,669885.0,553497.0,685837.0,628336.0,585237.0,522191.0,459760.0,421383.0,415627.0,,,
NL,Export,EXT_EU28,250310.0,244218.0,246186.0,247416.0,219426.0,196462.0,160430.0,181607.0,175465.0,153265.0,130919.0,114459.0,101976.0,100570.0,,,
NL,Import,EU28,416132.0,406712.0,411228.0,415250.0,398544.0,363071.0,311829.0,380225.0,353392.0,323290.0,289272.0,273358.0,256946.0,256010.0,,,
NL,Import,EXT_EU28,496605.0,480666.0,476803.0,498398.0,455430.0,410596.0,323606.0,409734.0,365495.0,340668.0,295559.0,240531.0,211060.0,207747.0,,,
PL,Export,EU28,283122.0,256579.0,231511.0,219924.0,212028.0,191161.0,156400.0,181077.0,162016.0,139890.0,113491.0,97304.0,78167.0,70858.0,,,
PL,Export,EXT_EU28,74222.0,74848.0,77177.0,68641.0,59087.0,49806.0,39331.0,50713.0,42503.0,36567.0,30288.0,23127.0,16886.0,16139.0,,,
PL,Import,EU28,246228.0,234534.0,215644.0,209852.0,211870.0,190275.0,155711.0,204221.0,177378.0,147829.0,123154.0,108724.0,84095.0,81586.0,,,
PL,Import,EXT_EU28,103754.0,102200.0,96995.0,100017.0,90713.0,78336.0,58598.0,79714.0,64446.0,54448.0,40238.0,35451.0,36612.0,35375.0,,,
PT,Export,EU28,72558.0,68198.0,66548.0,64252.0,63775.0,56233.0,47809.0,57850.0,59080.0,55726.0,50006.0,46106.0,45550.0,44595.0,,,
PT,Export,EXT_EU28,27158.0,28012.0,28057.0,26174.0,21880.0,18303.0,15582.0,19845.0,17508.0,15555.0,12267.0,11429.0,10598.0,10200.0,,,
PT,Import,EU28,92006.0,88203.0,82129.0,80588.0,87358.0,89608.0,80768.0,96021.0,91784.0,86711.0,79718.0,68146.0,66315.0,67830.0,,,
PT,Import,EXT_EU28,28319.0,29748.0,31893.0,32159.0,31744.0,27687.0,21990.0,32366.0,28069.0,25878.0,23026.0,20199.0,17135.0,17101.0,,,
RO,Export,EU28,80481.0,74622.0,69011.0,63410.0,64567.0,54222.0,43342.0,47711.0,42768.0,36572.0,31570.0,28583.0,23722.0,21741.0,,,
RO,Export,EXT_EU28,28738.0,30364.0,30130.0,26629.0,26000.0,20575.0,14825.0,19647.0,16318.0,15130.0,12773.0,8923.0,7507.0,7608.0,,,
RO,Import,EU28,97168.0,88253.0,83828.0,80480.0,80038.0,68053.0,57034.0,79778.0,73288.0,51746.0,41148.0,34724.0,28941.0,25765.0,,,
RO,Import,EXT_EU28,28783.0,28855.0,26829.0,28810.0,29848.0,25645.0,20862.0,34518.0,29323.0,29746.0,23927.0,17746.0,13460.0,11998.0,,,
SE,Export,EU28,147825.0,144896.0,145556.0,152794.0,150717.0,136764.0,109665.0,150043.0,150993.0,141896.0,124534.0,117276.0,106210.0,101094.0,,,
SE,Export,EXT_EU28,104852.0,102946.0,106761.0,115488.0,117910.0,102430.0,77860.0,99247.0,95367.0,93518.0,86000.0,80623.0,74313.0,71281.0,,,
SE,Import,EU28,174096.0,167975.0,166529.0,172304.0,173444.0,150715.0,116855.0,158520.0,159026.0,141694.0,126511.0,116758.0,106276.0,100714.0,,,
SE,Import,EXT_EU28,74838.0,76291.0,75334.0,83668.0,80902.0,73990.0,55033.0,70612.0,64583.0,61473.0,53053.0,44688.0,41426.0,40897.0,,,
SI,Export,EU28,43784.0,40758.0,38341.0,37552.0,38507.0,34179.0,28774.0,35440.0,33982.0,28539.0,23901.0,20176.0,17403.0,16955.0,,,
SI,Export,EXT_EU28,13855.0,13392.0,12890.0,12515.0,11323.0,9876.0,8615.0,10967.0,9976.0,8464.0,6638.0,5166.0,5169.0,4970.0,,,
SI,Import,EU28,37423.0,35312.0,35208.0,35918.0,36843.0,32957.0,28688.0,37971.0,36114.0,31665.0,27328.0,24482.0,19618.0,18783.0,,,
SI,Import,EXT_EU28,16152.0,15792.0,15051.0,13951.0,14209.0,12484.0,9415.0,12388.0,9962.0,6790.0,5222.0,3835.0,4860.0,4366.0,,,
SK,Export,EU28,116248.0,109818.0,107115.0,105580.0,97620.0,82659.0,69395.0,83011.0,74466.0,58213.0,44900.0,38901.0,33404.0,27448.0,,,
SK,Export,EXT_EU28,19749.0,20344.0,22018.0,19906.0,17080.0,14897.0,11020.0,13730.0,10927.0,8466.0,6266.0,5523.0,5216.0,3020.0,,,
SK,Import,EU28,104354.0,93840.0,91454.0,88826.0,84132.0,70725.0,59855.0,73538.0,66127.0,54006.0,43435.0,37909.0,29721.0,25634.0,,,
SK,Import,EXT_EU28,28225.0,29536.0,31629.0,31657.0,30583.0,27375.0,19939.0,26966.0,22331.0,17650.0,12239.0,10069.0,10148.0,9401.0,,,
UK,Export,EU28,368544.0,364118.0,354449.0,370063.0,365346.0,331356.0,280643.0,357057.0,373316.0,450290.0,355831.0,328835.0,320375.0,364138.0,,,
UK,Export,EXT_EU28,460978.0,396446.0,459670.0,365917.0,362484.0,296174.0,228765.0,284998.0,271456.0,267942.0,272441.0,229696.0,219982.0,228493.0,,,
UK,Import,EU28,604984.0,550798.0,515103.0,515367.0,471062.0,436674.0,368799.0,459398.0,500326.0,548964.0,467542.0,424185.0,400494.0,441235.0,,,
UK,Import,EXT_EU28,523396.0,488670.0,478850.0,566858.0,504748.0,453909.0,376364.0,435059.0,431104.0,426937.0,367177.0,332400.0,305661.0,328805.0,,,
