partner,currency,stk_flow,sitc06,geo\time	2014 	2012 	2010 
EXT_EU,EUR,IMP,SITC5-8,HR	56 	: 	: 
EXT_EU,EUR,IMP,SITC5-8,HU	36 	31.5 	37.5 
EXT_EU,EUR,IMP,SITC5-8,IE	21.4 	17 	19.3 
EXT_EU,EUR,IMP,SITC5-8,IT	52.3 	53 	54.3 
EXT_EU,EUR,IMP,SITC5-8,LT	42.1 	47.6 	41.8 
EXT_EU,EUR,IMP,SITC5-8,LU	43 	36.2 	38.8 
EXT_EU,EUR,IMP,SITC5-8,LV	60.2 	56.7 	53.8 
EXT_EU,EUR,IMP,SITC5-8,MT	42.2 	33.5 	29.9 
EXT_EU,EUR,IMP,SITC5-8,NL	42 	36.9 	37.3 
EXT_EU,EUR,IMP,SITC5-8,PL	31.3 	29.2 	27.2 
EXT_EU,EUR,IMP,SITC5-8,PT	49.3 	49 	55.2 
EXT_EU,EUR,IMP,SITC5-8,RO	47.9 	47.7 	41.2 
EXT_EU,EUR,IMP,SITC5-8,SE	22.4 	20 	9.5 
EXT_EU,EUR,IMP,SITC5-8,SI	72.8 	71.8 	71.4 
EXT_EU,EUR,IMP,SITC5-8,SK	74.4 	68.3 	69.5 
EXT_EU,EUR,IMP,SITC5-8,UK	7.1 	6.4 	6.5 
EXT_EU,EUR,IMP,TOTAL,AT	59.9 	62.4 	58.6 
EXT_EU,EUR,IMP,TOTAL,BE	33.3 	36.4 	44.5 
EXT_EU,EUR,IMP,TOTAL,BG	29.7 	23.9 	26.4 
EXT_EU,EUR,IMP,TOTAL,CY	37.1 	22.2 	25.8 
EXT_EU,EUR,IMP,TOTAL,CZ	31.1 	26.5 	23.7 
EXT_EU,EUR,IMP,TOTAL,DE	50.3 	50.9 	49.1 
EXT_EU,EUR,IMP,TOTAL,DK	21.4 	22.1 	24 
EXT_EU,EUR,IMP,TOTAL,EA	40.4 	41 	43.1 
EXT_EU,EUR,IMP,TOTAL,EE	36 	37.8 	35.9 
EXT_EU,EUR,IMP,TOTAL,EL	16.7 	16.1 	23.5 
EXT_EU,EUR,IMP,TOTAL,ES	33.3 	43.9 	46.7 
EXT_EU,EUR,IMP,TOTAL,EU	33.6 	33.2 	35.7 
EXT_EU,EUR,IMP,TOTAL,FI	25.8 	27 	42 
EXT_EU,EUR,IMP,TOTAL,FR	41 	39.6 	38.9 
